Ref,Message Intent,Message Element,Resp,
UM  169q,Acknowledgement  of  receipt  of  a  CPDLC  downlink MAYDAY message.  Note.— No equivalent to ICAO Doc 4444.,ROGER MAYDAY,R,
UM  169r,Acknowledgement  of  receipt  of  a  CPDLC  downlinked PAN message.  Note.— No equivalent to ICAO Doc 4444.,ROGER PAN,R,
UM  169ak,Notification that an ADS-C emergency report  has been received from the aircraft.  Note.— No equivalent to ICAO Doc 4444.,CONFIRM  ADS-C  EMERGENCY,R,
UM  169s,Notification  that  the  CPDLC  downlink  request was:  1) part of the approved message set; and  2) received by the controller.  The  aircraft  will  receive  any  further  communication  about  the  request  via  voice  contact with the specified unit.  [unit_description]  is  the  name  of  the  radio  facility  with  which  the  response  will  be  communicated.  Note.— No equivalent to ICAO Doc 4444.,REQUEST  RECEIVED  RESPONSE  WILL  BE  VIA  [unit_description],R,
UM  169x,Indication that the request has been received  and has been forwarded on to the next ATSU. Note.— Same intent as ICAO Doc 4444 UM  211.,REQUEST FORWARDED,R,
UM  169ab,Indicates  that  the  request  cannot  be  responded  to  by  the  current  unit  and  that  it  should be requested from the next unit.  Note.— Same intent as ICAO Doc 4444 UM  237.,REQUEST  AGAIN  WITH  NEXT UNIT,R,
UM  169ac,"Used  with  a  vertical  clearance,  indicating  an  ITP  clearance  when  there  is  one  reference  aircraft ahead.  Note.— No equivalent to ICAO Doc 4444.",ITP  BEHIND  [aircraft  identification],R,
UM  169ad,"Used  with  a  vertical  clearance,  indicating  an  ITP  clearance  when  there  is  one  reference  aircraft behind.  Note.— No equivalent to ICAO Doc 4444.",ITP  AHEAD  OF  [aircraft  identification],R,
UM  169ae,"Used  with  a  vertical  clearance,  indicating  an  ITP  clearance  when  there  are  two  reference  aircraft, both ahead.  Note.— No equivalent to ICAO Doc 4444.",ITP  BEHIND[aircraft  identification]  AND  BEHIND  [aircraft  identification],R,
UM  169af,"Used  with  a  vertical  clearance,  indicating  an  ITP  clearance  when  there  are  two  reference  aircraft, both behind:  Note.— No equivalent to ICAO Doc 4444.",ITP  AHEAD  OF  [aircraft  identification] AND AHEAD  OF [aircraft identification],R,
UM  169al,"Used  with  a  vertical  clearance,  indicating  an  ITP  clearance  when  there  are  two  reference  aircraft, one ahead and the other behind.  Note.— No equivalent to ICAO Doc 4444.",ITP  BEHIND  [aircraft  identification] AND AHEAD  OF [aircraft identification],R,
UM  169p,Notification  that  a  previously  issued  speed  can  be  expected  to  be  maintained  until  the  specified position or time.  Note.— No equivalent to ICAO Doc 4444.,EXPECT  TO  MAINTAIN  [speed]  UNTIL  [time  /  position],R,
UM  169z,Notification  that  the  aircraft  may  keep  its  preferred speed without restriction.  Note.— Same intent as ICAO Doc 4444 UM  222.,NO SPEED RESTRICTION,R,
UM  169ai,Instruction  that  the  “ident”  function  of  the  ADS-B emitter is to be activated.  Note.— Same intent as ICAO Doc 4444 UM  242.,TRANSMIT ADS-B IDENT,R,
UM  169b,Instruction  to  report  the  ground  speed  of  the  aircraft.  Note.— Intent similar partially to ICAO Doc  4444 UM 134.,REPORT GROUND SPEED,"R, then  DM 67l",
UM  169c,Instruction to advise the preferred flight level  for the flight.  Note.— Same intent as ICAO Doc 4444 UM  231,STATE  PREFERRED  LEVEL,"R, then  DM 67m",
UM  169d,Instruction  to  report  the  estimated  time  of  arrival at the specified position.  Note.— Same intent as ICAO Doc 4444 UM  228.,REPORT ETA [position],"R, then  DM 67n",
UM  169e,Instruction  to  notify  when  the  specified  traffic has been observed by visual contact to  have passed.  Note.— No equivalent to ICAO Doc 4444.,REPORT  SIGHTING  AND  PASSING  OPPOSITE  DIRECTION  [traffic  description] ETP [time],"R, then  DM 67o  DM 67p",
UM  169f,Instruction to notify of receipt of any ADS-C  report  indicating  a  deviation  from  cleared  route and to request the flight crew to advise  of intentions.  Note.— No equivalent to ICAO Doc 4444.,ADS-C  INDICATES  OFF  ROUTE.  ADVISE  INTENTIONS.,"R,  and then  DM 67",
UM  169t,Instruction to notify of receipt of any ADS-C  report  indicating  a  deviation  from  cleared  level and to request the flight crew to advise  of intentions.  Note.— No equivalent to ICAO Doc 4444.,ADS-C INDICATES LEVEL  DEVIATION.    ADVISE  INTENTIONS.,"R,  and then  DM 67",
UM  169v,Instruction to notify of receipt of any ADS-C  report  indicating  a  deviation  from  cleared  speed and to request the flight crew to advise  of intentions.  Note.— No equivalent to ICAO Doc 4444.,ADS-C INDICATES SPEED  DEVIATION.    ADVISE  INTENTIONS.,"R,  and then  DM 67",
UM  169h,Instruction to notify of receipt of any ADS-C  report that appears to contain inaccurate time  estimates  and  to  request  the  flight  crew  to  check FMS.  Note.— No equivalent to ICAO Doc 4444.,ADS-C  ESTIMATES  APPEAR  INACCURATE.   CHECK FMS.,R,
UM  169aa,Instruction  to  indicate  the  preferred  time  to  commence  descent  to  the  aerodrome  of  intended arrival.  Note.— Same intent as ICAO Doc 4444 UM  232 for time only.,STATE TOP OF DESCENT,"R, then  DM 67v",
UM  169k,Notification  that  a  SELCAL  check  on  the  specified HF frequency should be expected.  Note.— No equivalent to ICAO Doc 4444.,EXPECT  SELCAL  CHECK  HF [frequency],R,
UM  169l,"Notification that the CPDLC transfer process  will  not  be  completed  at  the  boundary  and  will  be  delayed  until  the  specified  time  or  position.  If  the  CPDLC  transfer  is  not  completed  by  the  specified  time  or  position,  the  flight  crew  should  manually  disconnect  CPDLC  and  initiate  a  logon  to  the  next  center.  Note.— No equivalent to ICAO Doc 4444.",EXPECT  CPDLC  TRANSFER  AT  [time/position],R,
UM  169aj,ATS  advisory  that  the  radar  and/or  ADS-B  service is terminated.  Note.— Same intent as ICAO Doc 4444 UM  244.,IDENTIFICATION  TERMINATED,R,
UM  169m,Notification that a CPDLC connection is not  required by the next ATSU (e.g. due to short  transition  time  through  the  next  ATSU’s  airspace)  and  CPDLC  connection  will  be  transferred to the subsequent ATSU.  Note.— No equivalent to ICAO Doc 4444.,EXPECT  NEXT  CENTER  [facility  designation].  CONTACT  WITH  [facility  designation]  NOT  REQUIRED,R,
UM  169n,Notification of traffic significant to the flight. Note.— No equivalent to ICAO Doc 4444.,TRAFFIC  IS  [traffic  description],"R,  then,  (optionally)  DM 67q",
UM  169o,Notification  of  the  secondary  frequency  for  the area.  Note.— Same intent as ICAO Doc 4444 UM  238.,SECONDARY  FREQUENCY [frequency],R,
UM  169ag,ATS  advisory  that  normal  voice  communication is not available.  Note.— No equivalent to ICAO Doc 4444.,TRY  SATCOM  VOICE  OR  RELAY  THROUGH  ANOTHER AIRCRAFT,R,
UM  169y,ATS  advisory  that  the  specified  altimeter  setting relates to the specified facility.  Note.— Same intent as ICAO Doc 4444 UM  213.,[facility  designation]  ALTIMETER [altimeter],R,
UM  169av,Used  after  ATC  cannot  comply  with  an  ITP  request to advise of intermediate flight levels  that are available for an ITP.  Note.— No equivalent to ICAO Doc 4444.,SEND  NEW  ITP  REQUEST  IF ABLE [level],R,
UM  169j,Instruction  to  check  the  status  of  CPDLC  messages  and  to  respond  to  unanswered  uplink messages.  Note.— No equivalent to ICAO Doc 4444.,CHECK  AND  RESPOND  TO  OPEN  CPDLC  MESSAGES,R,
UM  169w,Instruction  to  set  the  message  latency  monitor to the specified value.  Note.— No equivalent to ICAO Doc 4444.,SET MAX UPLINK DELAY  VALUE  TO  [delayed  message  parameter]  SECONDS,R,
UM  169au,Instruction to check that the message latency  monitor function is off.  Note 1.— No equivalent in ICAO Doc 4444.,CONFIRM  MAX  UPLINK  DELAY  VALUE  IS  NOT  SET,R,
UM  169u,Notification  that  an  element  contained  in  a  CPDLC  downlink  message  was  not  part  of  the approved CPDLC message set.  Note.—  Equivalent  to  ICAO  Doc  4444  UM  162.,MESSAGE  NOT  SUPPORTED  BY  THIS  ATS UNIT,R,
UM  169ah,Notification  that  an  element  contained  in  a  CPDLC  downlink  message  was  not  part  of  the  approved  message  set.    The  message  should  be  communicated  by  voice  (i.e.  radiotelephone (RTF)).  Note.— No equivalent to ICAO Doc 4444.,"MESSAGE  NOT  SUPPORTED  BY  THIS  ATS UNIT, CONTACT RTF",R,
UM  169am  or  UM  183am,Instruction to turn the CPDLC application off  and to initiate a logon to the specified ATSU.,AUTOMATIC  TRANSFER  OF  CPDLC  FAILED.  WHEN  ENTERING  [unit  name]  AREA  DISCONNECT  CPDLC  THEN  LOGON  TO  [facility  designation],R,
UM  169an,Instruction  for  the  flight  crew  to  check  that  the ADS-C function is armed.,CONFIRM ADS-C ARMED,R,
UM  169ao,Instruction  to  transmit  CPDLC  position  reports due to the failure of ADS-C.,ADS-C  SHUT  DOWN  AT  [facility  designation].  REVERT  TO  CPDLC  POSITION  REPORTS.   LEAVE ADS-C ARMED.,R,
